teks,label,kelas
Iklan filmnya lebih bagus dari filmnya sendiri,0,Negatif
"Film yang sangat membosankan, saya hampir tertidur",0,Negatif
Akting pemain utama sangat kaku dan tidak meyakinkan,0,Negatif
"Pembuangan waktu dan uang, tidak ada yang menarik",0,Negatif
Akting para pemain sangat natural dan menyentuh hati,1,Positif
Jalan cerita yang tidak terduga membuat penonton penasaran,1,Positif
Naskah yang lemah dan karakter yang tidak berkembang,0,Negatif
Banyak adegan yang tidak perlu dan membuang waktu,0,Negatif
Sangat menghibur dan penuh dengan pesan moral yang baik,1,Positif
"Film yang sangat bagus, saya sangat terhibur",1,Positif
Efek visualnya memukau dan musiknya sangat pas,1,Positif
Cerita tidak masuk akal dan akting yang buruk,0,Negatif
Saya menonton dua kali karena sangat bagus,1,Positif
Karakter yang kuat dan pengembangan cerita yang solid,1,Positif
Film keluarga yang bisa dinikmati semua usia,1,Positif
Cerita yang klise dan tidak ada yang baru,0,Negatif
Ceritanya menarik dan akting pemainnya luar biasa,1,Positif
"Recommended banget, wajib ditonton semua orang",1,Positif
Kualitas produksi sangat buruk dan amatir,0,Negatif
Alur cerita yang mengalir dan ending yang memuaskan,1,Positif
Film terburuk yang pernah saya tonton,0,Negatif
"Tidak sesuai ekspektasi sama sekali, sangat mengecewakan",0,Negatif
Alur cerita yang membingungkan dan ending yang mengecewakan,0,Negatif
"Saya menyesal menonton film ini, buang-buang waktu",0,Negatif
Baru setengah film saya sudah mau keluar bioskop,0,Negatif
Sutradara berhasil menyampaikan pesan dengan sangat baik,1,Positif
Sinematografi yang indah dan dialog yang berkesan,1,Positif
"Saya tertawa dan menangis, film yang sangat emosional",1,Positif
Efek visualnya murahan dan dialog yang kaku,0,Negatif
Film terbaik yang pernah saya tonton tahun ini,1,Positif
